OS_Berufs4Steller_RGS
Datum;RGSCode;RGSName;Berufs4Steller;Berufs4StellerBez;Bestand;
2024-12-31;418;Vöcklabruck;B2161;B2161 - Schweißer/innen, Schneidbrenner/innen;13;
2024-12-31;418;Vöcklabruck;B2201;B2201 - Kraftfahrzeugmechaniker/innen;39;
2024-12-31;418;Vöcklabruck;B2208;B2208 - Sonstige Grobmechaniker/innen;47;
2024-12-31;418;Vöcklabruck;B2209;B2209 - Grobmechanikerhelfer/innen;1;
2024-12-31;418;Vöcklabruck;B2223;B2223 - Bandagist(en)innen, Orthopädiemechaniker/innen;1;
2024-12-31;418;Vöcklabruck;B2224;B2224 - Zahnprothesenmacher/innen;1;
2024-12-31;418;Vöcklabruck;B2241;B2241 - Augenoptiker/innen;4;
2024-12-31;418;Vöcklabruck;B2388;B2388 - Sonstige Metallwarenmacher/innen, -montierer/innen;2;
2024-12-31;418;Vöcklabruck;B2399;B2399 - Metallhilfsarbeiter/innen, -helfer/innen;3;
2024-12-31;418;Vöcklabruck;B2405;B2405 - Elektromechaniker/innen;22;
2024-12-31;418;Vöcklabruck;B2421;B2421 - Elektroinstallateur(e)innen, -monteur(e)innen;55;
2024-12-31;418;Vöcklabruck;B2502;B2502 - Holzmaschinenarbeiter/innen;1;
2024-12-31;418;Vöcklabruck;B2511;B2511 - Bautischler/innen;5;
2024-12-31;418;Vöcklabruck;B2513;B2513 - Bau- und Möbeltischler/innen;19;
2024-12-31;418;Vöcklabruck;B2515;B2515 - Möbeltischler/innen;1;
2024-12-31;418;Vöcklabruck;B2519;B2519 - Tischlerhelfer/innen;7;
2024-12-31;418;Vöcklabruck;B3014;B3014 - Herren- und Damenschneider/innen;1;
2024-12-31;418;Vöcklabruck;B3021;B3021 - Oberbekleidungsarbeiter/innen (Kleidernäher/innen);1;
2024-12-31;418;Vöcklabruck;B3088;B3088 - Sonstige Textilnäher/innen;1;
2024-12-31;418;Vöcklabruck;B3171;B3171 - Tapezierer/innen, Polster(er)innen;3;
2024-12-31;418;Vöcklabruck;B3203;B3203 - Orthopädieschuhmacher/innen;2;
2024-12-31;418;Vöcklabruck;B3441;B3441 - Fotolaborant(en)innen, Fotohilfskräfte (m./w.);1;
2024-12-31;418;Vöcklabruck;B3501;B3501 - Chemiearbeiter/innen;2;
2024-12-31;418;Vöcklabruck;B3548;B3548 - Sonstige Gummiarbeiter/innen;1;
2024-12-31;418;Vöcklabruck;B3571;B3571 - Kunststoffverarbeiter/innen;4;
2024-12-31;418;Vöcklabruck;B3631;B3631 - Bäcker/innen;8;
2024-12-31;418;Vöcklabruck;B3632;B3632 - Bäckereiarbeiter/innen, andere Backwarenhersteller/innen;1;
2024-12-31;418;Vöcklabruck;B3641;B3641 - Zuckerbäcker/innen;3;
2024-12-31;418;Vöcklabruck;B3661;B3661 - Fleischer/innen;5;
2024-12-31;418;Vöcklabruck;B3668;B3668 - Sonstige Fleischverarbeiter/innen (ohne Konservenhersteller);1;
2024-12-31;418;Vöcklabruck;B3751;B3751 - Kaffeemittel-, andere Nahrungsmittelhersteller/innen;2;
2024-12-31;418;Vöcklabruck;B3801;B3801 - Maschinist(en)innen, Wärter/innen an Kraftmaschinen;8;
2024-12-31;418;Vöcklabruck;B3835;B3835 - Erdbewegungs-, Baumaschinenführer/innen;5;
2024-12-31;418;Vöcklabruck;B3851;B3851 - Bediener/innen anderer Güterbewegungsgeräte;26;
2024-12-31;418;Vöcklabruck;B3901;B3901 - Warensortierer, -nachseher, -adjustierer, -verpacker (m./w.);44;
2024-12-31;418;Vöcklabruck;B3951;B3951 - Magazin-, Lagerarbeiter, Verlader, Warenzusteller, (m./w.);33;
2024-12-31;418;Vöcklabruck;B3999;B3999 - Hilfsarbeiter/innen (Helfer), soweit nicht anderw. eing.;13;
2024-12-31;418;Vöcklabruck;B4002;B4002 - Drogist(en)innen;1;
2024-12-31;418;Vöcklabruck;B4003;B4003 - Händler/innen, Verk. v. Eisen-,MW.,Masch.,Haush.,Küchenger.;2;
2024-12-31;418;Vöcklabruck;B4005;B4005 - Händler/innen und Verk. von Textil- und Bekleidungswaren;9;
2024-12-31;418;Vöcklabruck;B4007;B4007 - Händler/innen u.Verkäufer/innen v. Lebens- und Genußmitteln;34;
2024-12-31;418;Vöcklabruck;B4012;B4012 - Händler/innen und Verkäufer/innen von Elektrowaren;2;
2024-12-31;418;Vöcklabruck;B4013;B4013 - Händler/innen, Verk. v. Fahrz., Bestandteilen u. Zubehör;6;
2024-12-31;418;Vöcklabruck;B4014;B4014 - Händler/innen,Verk.v.Parfümerien, Wasch-, Haush., Farben, Lack;3;
2024-12-31;418;Vöcklabruck;B4015;B4015 - Tabakverschleißer/innen, -verkäufer/innen;3;
2024-12-31;418;Vöcklabruck;B4016;B4016 - Warenhausverkäufer/innen;3;
2024-12-31;418;Vöcklabruck;B4018;B4018 - Sonstige Händler/innen u. Verkäufer/innen;72;
2024-12-31;418;Vöcklabruck;B4051;B4051 - Ambulante Händler/innen und Verkäufer/innen;1;
2024-12-31;418;Vöcklabruck;B4061;B4061 - Tankstellenwart(e)innen;6;
2024-12-31;418;Vöcklabruck;B4071;B4071 - Einkäufer/innen;5;
2024-12-31;418;Vöcklabruck;B4101;B4101 - Handelsvertreter/innen;8;
2024-12-31;418;Vöcklabruck;B4141;B4141 - Werbefachleute (m./w.);10;
2024-12-31;418;Vöcklabruck;B4161;B4161 - Versicherungsvermittler/innen, -vertreter/innen;4;
2024-12-31;418;Vöcklabruck;B4188;B4188 - Sonst. Vermittler/innen, Vermieter/innen und verw. Berufe;1;
2024-12-31;418;Vöcklabruck;B4221;B4221 - Lokomotivführer/innen, -heizer/innen;5;
2024-12-31;418;Vöcklabruck;B4271;B4271 - Bahnberufe anderer Art;1;
2024-12-31;418;Vöcklabruck;B4281;B4281 - Fuhrwerksunternehmer/innen, Kraftfahrer/innen;26;
2024-12-31;418;Vöcklabruck;B4531;B4531 - Postverkehrsfachbedienstete (m./w.);5;
2024-12-31;418;Vöcklabruck;B4601;B4601 - Speditionsfachleute (m./w.);2;
2024-12-31;418;Vöcklabruck;B4605;B4605 - Reise-, Fremdenverkehrsfachleute (m./w.);3;
2024-12-31;418;Vöcklabruck;B4701;B4701 - Transportarbeiter/innen;1;
2024-12-31;418;Vöcklabruck;B5001;B5001 - Hoteliers (m./w.), Gastwirt(e)innen und verw. leit. Berufe;3;
2024-12-31;418;Vöcklabruck;B5101;B5101 - Wirtschafter/innen, and. Hotel-, Gaststättenfachl., Heimverw.;4;
2024-12-31;418;Vöcklabruck;B5121;B5121 - Kellner/innen;39;
2024-12-31;418;Vöcklabruck;B5131;B5131 - Büffet-, Schankkräfte (m./w.), Küchenansager/innen;16;
2024-12-31;418;Vöcklabruck;B5141;B5141 - Stubenmädchen/-burschen;7;
2024-12-31;418;Vöcklabruck;B5201;B5201 - Gaststättenköch(e)innen;39;
2024-12-31;418;Vöcklabruck;B5251;B5251 - Kochgehilf(en)innen;30;
2024-12-31;418;Vöcklabruck;B5255;B5255 - Geschirreiniger/innen, Eßzeugputzer/innen;4;
2024-12-31;418;Vöcklabruck;B5301;B5301 - Haushälter/innen und verwandte Berufe;1;
2024-12-31;418;Vöcklabruck;B5303;B5303 - Hausgehilf(en)innen;10;
2024-12-31;418;Vöcklabruck;B5351;B5351 - Hauswart(e)innen;3;
2024-12-31;418;Vöcklabruck;B5431;B5431 - Gebäudereiniger/innen, Fensterputzer/innen;1;
2024-12-31;418;Vöcklabruck;B5436;B5436 - Reinigungskräfte (m./w.);53;
2024-12-31;418;Vöcklabruck;B5502;B5502 - Wäscher;1;
2024-12-31;418;Vöcklabruck;B5608;B5608 - Sonstige Reinigungsberufe;1;
2024-12-31;418;Vöcklabruck;B5701;B5701 - Friseur(e)innen, Maskenbildner/innen;8;
2024-12-31;418;Vöcklabruck;B5711;B5711 - Kosmetiker/innen, Hand-, Fußpfleger/innen;4;
2024-12-31;418;Vöcklabruck;B5751;B5751 - Friseur-, Kosmetikhilfskräfte (m./w.) und verwandte Berufe;1;
2024-12-31;418;Vöcklabruck;B5901;B5901 - Portier(e)innen, Wächter/innen;1;
2024-12-31;418;Vöcklabruck;B5988;B5988 - Sonstige Dienstleistungsberufe;1;
2024-12-31;418;Vöcklabruck;B6121;B6121 - Diplomingenieur(e)innen für Bauwesen;1;
2024-12-31;418;Vöcklabruck;B6128;B6128 - Sonstige Techniker/innen für Bauwesen;16;
2024-12-31;418;Vöcklabruck;B6168;B6168 - Sonstige Techniker/innen für Vermessungswesen;3;
2024-12-31;418;Vöcklabruck;B6201;B6201 - Diplomingenieur(e)innen für Maschinenbau;2;
2024-12-31;418;Vöcklabruck;B6205;B6205 - Techniker/innen mit höherer Ausbildung (Ing.) f. Maschinenbau;2;
2024-12-31;418;Vöcklabruck;B6208;B6208 - Sonstige Techniker/innen für Maschinenbau;46;
2024-12-31;418;Vöcklabruck;B6248;B6248 - Sonstige Techniker/innen für Starkstromtechnik;14;
2024-12-31;418;Vöcklabruck;B6278;B6278 - Sonst. Techniker/innen f. Schwachstrom- u. Nachrichtentechnik;2;
2024-12-31;418;Vöcklabruck;B6305;B6305 - Techn. m. höh. Ausb. f. techn. Chemie, Chemotechniker (m./w.);1;
2024-12-31;418;Vöcklabruck;B6348;B6348 - Sonstige Techniker/innen für Feuerungs- und Gastechnik;1;
2024-12-31;418;Vöcklabruck;B6451;B6451 - Diplomingenieur(e)innen für Wirtschaftswesen;2;
2024-12-31;418;Vöcklabruck;B6458;B6458 - Sonstige Techniker/innen für Wirtschaftswesen;8;
2024-12-31;418;Vöcklabruck;B6471;B6471 - Diplomingenieur(e)innen für Datenverarbeitung;1;
2024-12-31;418;Vöcklabruck;B6478;B6478 - Sonstige Techniker/innen für Datenverarbeitung;18;
2024-12-31;418;Vöcklabruck;B6491;B6491 - Diplomingenieur(e)innen soweit nicht anderweitig eingeordnet;2;
2024-12-31;418;Vöcklabruck;B6495;B6495 - Techn. mit höh. Ausb. sow. nicht anderw. eingeordnet (m./w.);1;
2024-12-31;418;Vöcklabruck;B6498;B6498 - Sonstige Techniker/innen soweit nicht anderw. eingeordnet;25;
2024-12-31;418;Vöcklabruck;B6606;B6606 - Bühnen-, fernseh-, film- und tontechnische Sonderberufe;1;
2024-12-31;418;Vöcklabruck;B6636;B6636 - Physikalisch-technische Sonderberufe;1;
2024-12-31;418;Vöcklabruck;B6656;B6656 - Chemielaborant(en)innen, Stoffprüfer/innen (Chemie);2;
2024-12-31;418;Vöcklabruck;B6806;B6806 - Grafische Zeichner/innen;1;
2024-12-31;418;Vöcklabruck;B6826;B6826 - Technische Zeichner/innen;2;
2024-12-31;418;Vöcklabruck;B7101;B7101 - Verwaltungsfachbedienstete (m./w.) des öffentlichen Dienstes;5;
2024-12-31;418;Vöcklabruck;B7531;B7531 - Rechtskonsulent(en)innen, Jurist(en)innen;1;
2024-12-31;418;Vöcklabruck;B7561;B7561 - Wirtschaftstreuhänder/innen;2;
2024-12-31;418;Vöcklabruck;B7565;B7565 - Wirtschaftsverwalter/innen;5;
2024-12-31;418;Vöcklabruck;B7568;B7568 - Sonstige Wirtschaftsberater/innen;4;
2024-12-31;418;Vöcklabruck;B7601;B7601 - Tätige Betriebsinh., Direkt., Geschäftsl. u. verw. Berufe (m/w;26;
2024-12-31;418;Vöcklabruck;B7701;B7701 - Buchhalter/innen;13;
2024-12-31;418;Vöcklabruck;B7712;B7712 - Laden-, Eintrittskartenkassier(e)innen;9;
2024-12-31;418;Vöcklabruck;B7781;B7781 - Kalkulant(en)innen;3;
2024-12-31;418;Vöcklabruck;B7785;B7785 - Lohn-, Gehaltsverrechner/innen;7;
2024-12-31;418;Vöcklabruck;B7801;B7801 - Industrie-, Gewerbekaufleute (m./w.), Kontorist(en)innen;33;
2024-12-31;418;Vöcklabruck;B7811;B7811 - Bank-, Sparkassen-, Privatversicherungsfachleute (m./w.);7;
2024-12-31;418;Vöcklabruck;B7821;B7821 - Korrespondent(en)innen, Bürosekretär(e)innen;4;
2024-12-31;418;Vöcklabruck;B7841;B7841 - Büroberufe, Verwaltungshilfsberufe;8;
2024-12-31;418;Vöcklabruck;B7871;B7871 - Magazin-, Lagerfachleute (m./w.), Expedient(en)innen;14;
2024-12-31;418;Vöcklabruck;B8001;B8001 - Ärzt(e)innen;1;
2024-12-31;418;Vöcklabruck;B8011;B8011 - Zahnärzt(e)innen;1;
2024-12-31;418;Vöcklabruck;B8061;B8061 - Dipl. Krankenpfleger, -schwestern;15;
2024-12-31;418;Vöcklabruck;B8076;B8076 - Masseur(e)innen;2;
2024-12-31;418;Vöcklabruck;B8078;B8078 - Sonstige medizinisch-technische Fachkräfte (m./w.);3;
2024-12-31;418;Vöcklabruck;B8081;B8081 - Nicht diplomierte Krankenpfleger/innen und verwandte Berufe;24;
2024-12-31;418;Vöcklabruck;B8088;B8088 - Sonstige Berufe des Gesundheits-, und Sanitätshilfsdienstes;1;
2024-12-31;418;Vöcklabruck;B8101;B8101 - Fürsorger/innen, Sozialarbeiter/innen;28;
2024-12-31;418;Vöcklabruck;B8321;B8321 - Volkschullehrer/innen;1;
2024-12-31;418;Vöcklabruck;B8371;B8371 - Erzieher/innen;12;
2024-12-31;418;Vöcklabruck;B8501;B8501 - Schriftsteller/innen, Journalist(en)innen;2;
2024-12-31;418;Vöcklabruck;B8701;B8701 - Intendant(en)innen und verwandte leitende Berufe;1;
2024-12-31;418;Vöcklabruck;B8801;B8801 - Turn-, Sportberufe;1;
2024-12-31;419;Wels;B0207;B0207 - Gartenbauer/innen, Gärtner/innen;1;
2024-12-31;419;Wels;B0254;B0254 - Tierzuchtgehilf(en)innen, Tierpfleger/innen;2;
2024-12-31;419;Wels;B0261;B0261 - Gärtnergehilf(en)innen;4;
2024-12-31;419;Wels;B0268;B0268 - Sonstige Gartenarbeiter/innen;1;
2024-12-31;419;Wels;B0271;B0271 - Naturblumenbinder/innen;1;
2024-12-31;419;Wels;B0601;B0601 - Forstarbeiter/innen;2;
2024-12-31;419;Wels;B1361;B1361 - Steinmetzen(innen), Steinbildhauer/innen;1;
2024-12-31;419;Wels;B1601;B1601 - Maurer/innen;8;
2024-12-31;419;Wels;B1611;B1611 - Stukkateur(e)innen;2;
2024-12-31;419;Wels;B1631;B1631 - Zimmerer/innen;7;
2024-12-31;419;Wels;B1641;B1641 - Betonbauer/innen;2;
2024-12-31;419;Wels;B1675;B1675 - Gleisbauer/innen;5;
2024-12-31;419;Wels;B1678;B1678 - Sonstige Tiefbauer/innen;5;
2024-12-31;419;Wels;B1701;B1701 - Dachdecker/innen;3;
2024-12-31;419;Wels;B1703;B1703 - Schwarzdecker/innen;1;
2024-12-31;419;Wels;B1711;B1711 - Isolierer/innen;2;
2024-12-31;419;Wels;B1721;B1721 - Platten-, Fliesenleger/innen;5;
2024-12-31;419;Wels;B1728;B1728 - Sonstige Bodenleger/innen;3;
2024-12-31;419;Wels;B1761;B1761 - Maler/innen, Anstreicher/innen;3;
2024-12-31;419;Wels;B1765;B1765 - Schilder-, Schriftenmaler/innen;3;
2024-12-31;419;Wels;B1767;B1767 - Lackierer/innen;11;
2024-12-31;419;Wels;B1771;B1771 - Glaser/innen;4;
2024-12-31;419;Wels;B1799;B1799 - Bauhilfsarbeiter/innen, -helfer/innen, Erdarbeiter/innen;6;
2024-12-31;419;Wels;B1871;B1871 - Gußputzer/innen, andere Gießereiberufe;4;
2024-12-31;419;Wels;B1901;B1901 - Huf- und Wagenschmied(e)innen;3;
2024-12-31;419;Wels;B1931;B1931 - Kessel- und Behälterbauer/innen;3;
2024-12-31;419;Wels;B1951;B1951 - Bau-, Blech-, Konstruktionsschlosser/innen;20;
2024-12-31;419;Wels;B1954;B1954 - Maschinenschlosser/innen;19;
2024-12-31;419;Wels;B1955;B1955 - Landmaschinenbauer/innen;8;
2024-12-31;419;Wels;B1958;B1958 - Sonstige Schlosser/innen;26;
2024-12-31;419;Wels;B1959;B1959 - Schlosserhelfer/innen;4;
2024-12-31;419;Wels;B1971;B1971 - Werkzeug-, Schnitt- und Stanzenmacher/innen;4;
2024-12-31;419;Wels;B2001;B2001 - Automaten-, Maschineneinrichter/innen, -einsteller/innen;3;
2024-12-31;419;Wels;B2021;B2021 - Dreher/innen;26;
2024-12-31;419;Wels;B2042;B2042 - Fräser/innen;3;
2024-12-31;419;Wels;B2045;B2045 - Oberflächenschleifer/innen;1;
2024-12-31;419;Wels;B2088;B2088 - Sonstige Berufe der maschinellen Metallbearbeitung;1;
2024-12-31;419;Wels;B2105;B2105 - Karosserie-, Kühlerspengler/innen;7;
2024-12-31;419;Wels;B2108;B2108 - Sonstige Spengler/innen;9;
2024-12-31;419;Wels;B2109;B2109 - Spenglerhelfer/innen;2;
2024-12-31;419;Wels;B2121;B2121 - Rohrinstallateur(e)innen, -monteur(e)innen;33;
2024-12-31;419;Wels;B2129;B2129 - Rohrinstallateur(monteur)helfer/innen;3;
2024-12-31;419;Wels;B2161;B2161 - Schweißer/innen, Schneidbrenner/innen;17;
2024-12-31;419;Wels;B2201;B2201 - Kraftfahrzeugmechaniker/innen;56;
2024-12-31;419;Wels;B2208;B2208 - Sonstige Grobmechaniker/innen;26;
2024-12-31;419;Wels;B2209;B2209 - Grobmechanikerhelfer/innen;1;
2024-12-31;419;Wels;B2221;B2221 - Feinmechaniker/innen;2;
2024-12-31;419;Wels;B2241;B2241 - Augenoptiker/innen;9;
2024-12-31;419;Wels;B2388;B2388 - Sonstige Metallwarenmacher/innen, -montierer/innen;12;
2024-12-31;419;Wels;B2399;B2399 - Metallhilfsarbeiter/innen, -helfer/innen;3;
2024-12-31;419;Wels;B2405;B2405 - Elektromechaniker/innen;29;
2024-12-31;419;Wels;B2421;B2421 - Elektroinstallateur(e)innen, -monteur(e)innen;116;
2024-12-31;419;Wels;B2429;B2429 - Elektroinstallateur-, Fernmeldemonteurhelfer/innen;6;
2024-12-31;419;Wels;B2488;B2488 - Sonstige Elektroberufe;3;
2024-12-31;419;Wels;B2502;B2502 - Holzmaschinenarbeiter/innen;5;
2024-12-31;419;Wels;B2511;B2511 - Bautischler/innen;3;
2024-12-31;419;Wels;B2513;B2513 - Bau- und Möbeltischler/innen;16;
2024-12-31;419;Wels;B2519;B2519 - Tischlerhelfer/innen;1;
2024-12-31;419;Wels;B2761;B2761 - Sattler/innen, Riemer/innen;2;
2024-12-31;419;Wels;B3088;B3088 - Sonstige Textilnäher/innen;2;
2024-12-31;419;Wels;B3453;B3453 - Flachdrucker/innen;1;
2024-12-31;419;Wels;B3458;B3458 - Sonstige grafische Drucker/innen;2;
2024-12-31;419;Wels;B3501;B3501 - Chemiearbeiter/innen;5;
2024-12-31;419;Wels;B3548;B3548 - Sonstige Gummiarbeiter/innen;5;
2024-12-31;419;Wels;B3571;B3571 - Kunststoffverarbeiter/innen;3;
2024-12-31;419;Wels;B3631;B3631 - Bäcker/innen;8;
2024-12-31;419;Wels;B3641;B3641 - Zuckerbäcker/innen;4;
2024-12-31;419;Wels;B3661;B3661 - Fleischer/innen;7;
2024-12-31;419;Wels;B3668;B3668 - Sonstige Fleischverarbeiter/innen (ohne Konservenhersteller);1;
2024-12-31;419;Wels;B3671;B3671 - Molker/innen, Käser/innen;1;
2024-12-31;419;Wels;B3751;B3751 - Kaffeemittel-, andere Nahrungsmittelhersteller/innen;1;
2024-12-31;419;Wels;B3801;B3801 - Maschinist(en)innen, Wärter/innen an Kraftmaschinen;9;
2024-12-31;419;Wels;B3831;B3831 - Kranführer/innen, Aufzugsmaschinist(en)innen;4;
2024-12-31;419;Wels;B3835;B3835 - Erdbewegungs-, Baumaschinenführer/innen;4;
2024-12-31;419;Wels;B3851;B3851 - Bediener/innen anderer Güterbewegungsgeräte;13;
2024-12-31;419;Wels;B3901;B3901 - Warensortierer, -nachseher, -adjustierer, -verpacker (m./w.);35;
2024-12-31;419;Wels;B3951;B3951 - Magazin-, Lagerarbeiter, Verlader, Warenzusteller, (m./w.);86;
2024-12-31;419;Wels;B3999;B3999 - Hilfsarbeiter/innen (Helfer), soweit nicht anderw. eing.;3;
2024-12-31;419;Wels;B4002;B4002 - Drogist(en)innen;6;
2024-12-31;419;Wels;B4003;B4003 - Händler/innen, Verk. v. Eisen-,MW.,Masch.,Haush.,Küchenger.;1;
2024-12-31;419;Wels;B4005;B4005 - Händler/innen und Verk. von Textil- und Bekleidungswaren;7;
2024-12-31;419;Wels;B4007;B4007 - Händler/innen u.Verkäufer/innen v. Lebens- und Genußmitteln;57;
2024-12-31;419;Wels;B4012;B4012 - Händler/innen und Verkäufer/innen von Elektrowaren;3;
2024-12-31;419;Wels;B4013;B4013 - Händler/innen, Verk. v. Fahrz., Bestandteilen u. Zubehör;3;
2024-12-31;419;Wels;B4014;B4014 - Händler/innen,Verk.v.Parfümerien, Wasch-, Haush., Farben, Lack;2;
2024-12-31;419;Wels;B4015;B4015 - Tabakverschleißer/innen, -verkäufer/innen;1;
2024-12-31;419;Wels;B4016;B4016 - Warenhausverkäufer/innen;5;
2024-12-31;419;Wels;B4018;B4018 - Sonstige Händler/innen u. Verkäufer/innen;116;
2024-12-31;419;Wels;B4051;B4051 - Ambulante Händler/innen und Verkäufer/innen;2;
2024-12-31;419;Wels;B4061;B4061 - Tankstellenwart(e)innen;6;
2024-12-31;419;Wels;B4071;B4071 - Einkäufer/innen;9;
2024-12-31;419;Wels;B4101;B4101 - Handelsvertreter/innen;22;
2024-12-31;419;Wels;B4141;B4141 - Werbefachleute (m./w.);16;
2024-12-31;419;Wels;B4151;B4151 - Konsumentenberater/innen;3;
2024-12-31;419;Wels;B4161;B4161 - Versicherungsvermittler/innen, -vertreter/innen;2;
2024-12-31;419;Wels;B4188;B4188 - Sonst. Vermittler/innen, Vermieter/innen und verw. Berufe;3;
2024-12-31;419;Wels;B4201;B4201 - Aufsichtsorgane (m./w.) des Landverkehrs;1;
2024-12-31;419;Wels;B4221;B4221 - Lokomotivführer/innen, -heizer/innen;7;
2024-12-31;419;Wels;B4271;B4271 - Bahnberufe anderer Art;2;
2024-12-31;419;Wels;B4281;B4281 - Fuhrwerksunternehmer/innen, Kraftfahrer/innen;29;
2024-12-31;419;Wels;B4531;B4531 - Postverkehrsfachbedienstete (m./w.);2;
2024-12-31;419;Wels;B4601;B4601 - Speditionsfachleute (m./w.);13;
2024-12-31;419;Wels;B4605;B4605 - Reise-, Fremdenverkehrsfachleute (m./w.);1;
2024-12-31;419;Wels;B4701;B4701 - Transportarbeiter/innen;2;
2024-12-31;419;Wels;B5001;B5001 - Hoteliers (m./w.), Gastwirt(e)innen und verw. leit. Berufe;3;
2024-12-31;419;Wels;B5101;B5101 - Wirtschafter/innen, and. Hotel-, Gaststättenfachl., Heimverw.;7;
2024-12-31;419;Wels;B5121;B5121 - Kellner/innen;28;
2024-12-31;419;Wels;B5131;B5131 - Büffet-, Schankkräfte (m./w.), Küchenansager/innen;10;
2024-12-31;419;Wels;B5141;B5141 - Stubenmädchen/-burschen;3;
2024-12-31;419;Wels;B5151;B5151 - Hotelportier(e)innen;2;
2024-12-31;419;Wels;B5201;B5201 - Gaststättenköch(e)innen;31;
2024-12-31;419;Wels;B5251;B5251 - Kochgehilf(en)innen;20;
2024-12-31;419;Wels;B5255;B5255 - Geschirreiniger/innen, Eßzeugputzer/innen;4;
2024-12-31;419;Wels;B5301;B5301 - Haushälter/innen und verwandte Berufe;1;
2024-12-31;419;Wels;B5401;B5401 - Rauchfangkehrer/innen;1;
2024-12-31;419;Wels;B5431;B5431 - Gebäudereiniger/innen, Fensterputzer/innen;4;
2024-12-31;419;Wels;B5436;B5436 - Reinigungskräfte (m./w.);53;
2024-12-31;419;Wels;B5601;B5601 - Kanal-, Straßenreiniger/innen, Müllabträger/innen;1;
2024-12-31;419;Wels;B5608;B5608 - Sonstige Reinigungsberufe;2;
2024-12-31;419;Wels;B5701;B5701 - Friseur(e)innen, Maskenbildner/innen;6;
2024-12-31;419;Wels;B5711;B5711 - Kosmetiker/innen, Hand-, Fußpfleger/innen;5;
2024-12-31;419;Wels;B5901;B5901 - Portier(e)innen, Wächter/innen;6;
2024-12-31;419;Wels;B5988;B5988 - Sonstige Dienstleistungsberufe;1;
2024-12-31;419;Wels;B6101;B6101 - DI (m./w.) f. Architektur, Mag. (m./w.) der Architektur;1;
2024-12-31;419;Wels;B6121;B6121 - Diplomingenieur(e)innen für Bauwesen;2;
2024-12-31;419;Wels;B6125;B6125 - Techniker/innen mit höherer Ausbildung (Ing.) für Bauwesen;2;
2024-12-31;419;Wels;B6128;B6128 - Sonstige Techniker/innen für Bauwesen;28;
2024-12-31;419;Wels;B6168;B6168 - Sonstige Techniker/innen für Vermessungswesen;2;
2024-12-31;419;Wels;B6205;B6205 - Techniker/innen mit höherer Ausbildung (Ing.) f. Maschinenbau;4;
2024-12-31;419;Wels;B6208;B6208 - Sonstige Techniker/innen für Maschinenbau;49;
2024-12-31;419;Wels;B6245;B6245 - Techniker/innen mit höherer Ausb. (Ing.) für Starkstromtechnik;1;
2024-12-31;419;Wels;B6248;B6248 - Sonstige Techniker/innen für Starkstromtechnik;21;
2024-12-31;419;Wels;B6275;B6275 - Techniker/innen m. höh. Ausb. f. Schwachstr.- u. Nachrichtent.;1;
2024-12-31;419;Wels;B6278;B6278 - Sonst. Techniker/innen f. Schwachstrom- u. Nachrichtentechnik;9;
2024-12-31;419;Wels;B6301;B6301 - Diplomingenieur(e)innen für technische Chemie, Chemiker/innen;1;
2024-12-31;419;Wels;B6308;B6308 - Sonstige Techniker/innen für technische Chemie;1;
2024-12-31;419;Wels;B6348;B6348 - Sonstige Techniker/innen für Feuerungs- und Gastechnik;1;
2024-12-31;419;Wels;B6451;B6451 - Diplomingenieur(e)innen für Wirtschaftswesen;11;
2024-12-31;419;Wels;B6455;B6455 - Techn. m. höh. Ausbildung (Ing.) f. Wirtschaftswesen (m./w.);2;
2024-12-31;419;Wels;B6458;B6458 - Sonstige Techniker/innen für Wirtschaftswesen;27;
2024-12-31;419;Wels;B6471;B6471 - Diplomingenieur(e)innen für Datenverarbeitung;6;
2024-12-31;419;Wels;B6475;B6475 - Techn. m. höh. Ausbild. (Ing.) f. Datenverarbeitung (m./w.);19;
2024-12-31;419;Wels;B6478;B6478 - Sonstige Techniker/innen für Datenverarbeitung;90;
2024-12-31;419;Wels;B6495;B6495 - Techn. mit höh. Ausb. sow. nicht anderw. eingeordnet (m./w.);9;
2024-12-31;419;Wels;B6498;B6498 - Sonstige Techniker/innen soweit nicht anderw. eingeordnet;34;
2024-12-31;419;Wels;B6606;B6606 - Bühnen-, fernseh-, film- und tontechnische Sonderberufe;1;
2024-12-31;419;Wels;B6656;B6656 - Chemielaborant(en)innen, Stoffprüfer/innen (Chemie);3;
2024-12-31;419;Wels;B6806;B6806 - Grafische Zeichner/innen;4;
2024-12-31;419;Wels;B6826;B6826 - Technische Zeichner/innen;1;
2024-12-31;419;Wels;B7101;B7101 - Verwaltungsfachbedienstete (m./w.) des öffentlichen Dienstes;8;
2024-12-31;419;Wels;B7301;B7301 - Öffentliche Sicherheitsorgane (m./w.);2;
2024-12-31;419;Wels;B7531;B7531 - Rechtskonsulent(en)innen, Jurist(en)innen;4;
2024-12-31;419;Wels;B7561;B7561 - Wirtschaftstreuhänder/innen;2;
2024-12-31;419;Wels;B7568;B7568 - Sonstige Wirtschaftsberater/innen;4;
2024-12-31;419;Wels;B7601;B7601 - Tätige Betriebsinh., Direkt., Geschäftsl. u. verw. Berufe (m/w;82;
2024-12-31;419;Wels;B7701;B7701 - Buchhalter/innen;40;
2024-12-31;419;Wels;B7712;B7712 - Laden-, Eintrittskartenkassier(e)innen;26;
2024-12-31;419;Wels;B7781;B7781 - Kalkulant(en)innen;1;
